Name,Web,Twitter Username,Total Tweets,Total Followers,Total Following
Zaha Hadid Architects,http://www.zaha-hadid.com/,ZHA_News,"1,999 Tweets",510.7K Followers,386 Following
Foster + Partners,https://www.fosterandpartners.com/,FosterPartners,"2,045 Tweets",131.3K Followers,87 Following
John Pawson,http://www.johnpawson.com/,johnpawsonnews,176 Tweets,"2,591 Followers",60 Following
Adjaye Associates,https://www.adjaye.com/,AdjayeAssoc,"1,769 Tweets",11.7K Followers,737 Following
Grimshaw,https://grimshaw.global//,GrimshawArch,"2,333 Tweets",10.5K Followers,975 Following
Rogers Stirk Harbour + Partners,https://www.rsh-p.com/,RSHParchitects,"3,515 Tweets",11.7K Followers,715 Following
Morris+Company,https://morrisand.company/,moco_arch,"2,666 Tweets","8,700 Followers","1,137 Following"
Stallan-Brand,https://stallanbrand.com/,StallanBrand,56 Tweets,435 Followers,37 Following
Farshid Moussavi Architecture,https://www.farshidmoussavi.com/,farshidmoussavi,283 Tweets,"1,547 Followers",73 Following
Make,https://www.makearchitects.com/,MakeArchitects,"6,677 Tweets",29.3K Followers,"2,445 Following"
BDP,https://www.bdp.com/,bdp_com,10.9K Tweets,16.9K Followers,497 Following
RMJM,https://www.rmjm.com/,RMJM_,"2,537 Tweets","2,724 Followers","1,552 Following"
Sam Jacob Studio,https://www.samjacob.com/,_SamJacob,"5,707 Tweets",17.6K Followers,"6,803 Following"
Hawkins\Brown,https://www.hawkinsbrown.com/,Hawkins_Brown,"4,168 Tweets",17.2K Followers,"1,426 Following"
Assemble Studio,https://www.assemblestudio.co.uk/,Assemblestudio,429 Tweets,"2,699 Followers",410 Following
Koto Design,https://kotodesign.co.uk/,koto_cabins,324 Tweets,400 Followers,191 Following
Strom Architects,http://www.stromarchitects.com/,stromarchitects,"7,514 Tweets",12.3K Followers,"1,335 Following"
Gregory Phillips Architects,https://gregoryphillips.com/,GPALondon,"1,467 Tweets",816 Followers,460 Following
WilkinsonEyre,http://www.wilkinsoneyre.com/,WilkinsonEyre,"2,191 Tweets",17.1K Followers,"1,035 Following"
Mamou-Mani,https://mamou-mani.com/,Mamou_Mani,"1,449 Tweets","1,636 Followers","2,034 Following"
Amos Goldreich Architecture,https://www.agarchitecture.net/,amosgoldreich,"4,515 Tweets","6,299 Followers","1,965 Following"
Broadway Malyan,https://www.broadwaymalyan.com/,BroadwayMalyan,"2,893 Tweets","7,254 Followers",343 Following
Allford Hall Monaghan Morris,https://www.ahmm.co.uk/,AHMMArchitects,"2,535 Tweets",18.5K Followers,"1,041 Following"
McLean Quinlan,https://mcleanquinlan.com/,mcleanquinlan,961 Tweets,"1,580 Followers",322 Following
Allies and Morrison,https://www.alliesandmorrison.com/,alliesmorrison,"1,840 Tweets",13.4K Followers,"1,047 Following"
Invisible Studio,http://www.invisiblestudio.org/,invisiblstudio,"1,626 Tweets","6,295 Followers","2,958 Following"
SHH,https://shh.co.uk/,SHHArchitects,"2,921 Tweets","7,586 Followers","3,796 Following"
Hyde + Hyde Architects,https://www.hydearchitects.com/,hyde_architects,"5,807 Tweets",16.9K Followers,"1,483 Following"
Chapman Taylor,https://www.chapmantaylor.com/,Chapman_Taylor,"3,542 Tweets","5,402 Followers","3,139 Following"
Mary Duggan Architects,http://www.marydugganarchitects.com/,marydugganarc,122 Tweets,"2,486 Followers",537 Following
Feilden Clegg Bradley Studios,http://www.fcbstudios.com/,FCBStudios,"9,411 Tweets",13.8K Followers,"1,766 Following"
Mæ,https://www.mae.co.uk/,MaeArchitects,"2,797 Tweets","4,755 Followers",756 Following
Stanton Williams,https://www.stantonwilliams.com/,_SW_News,"1,956 Tweets","3,573 Followers",915 Following
Sheppard Robson,http://www.sheppardrobson.com/,SheppardRobson,"1,854 Tweets","8,567 Followers","1,039 Following"
Charles Holland Architects,http://www.charleshollandarchitects.co.uk/,charlesjholland,26.4K Tweets,15.4K Followers,"3,901 Following"
Rural Office for Architecture,http://www.ruralofficeforarchitecture.co.uk/,Rural_Office,"3,006 Tweets","1,995 Followers",70 Following
Studio Indigo,https://studioindigo.co.uk/,studioindigoltd,292 Tweets,357 Followers,282 Following
Peter Barber Architects,http://www.peterbarberarchitects.com/,PpeterPeter,"7,498 Tweets",16.6K Followers,991 Following
Hopkins Architects,https://www.hopkins.co.uk/,Hopkins_Arch,65 Tweets,452 Followers,74 Following
Squire & Partners,http://www.squireandpartners.com/,squirepartners,"3,277 Tweets","6,823 Followers","2,696 Following"
Alison Brooks Architects,https://www.alisonbrooksarchitects.com/,AlisonBrooksArc,"1,159 Tweets","2,576 Followers",851 Following
Michaelis Boyd,https://www.michaelisboyd.com/,MichaelisBoyd,364 Tweets,"1,838 Followers","1,203 Following"
Conran & Partners,https://conranandpartners.com/,weareconran,"3,899 Tweets","7,945 Followers",524 Following
O’Donnell + Tuomey,https://odonnell-tuomey.ie/,odonnell_tuomey,822 Tweets,"4,248 Followers",338 Following
Associated Architects,http://www.associated-architects.co.uk/,AssociatedA,"2,775 Tweets","4,210 Followers",497 Following
31/44 Architects,https://www.3144architects.com/,31_44,"1,003 Tweets","1,888 Followers",632 Following
AL_A,https://www.ala.uk.com/,AL_Atweets,408 Tweets,"1,368 Followers",262 Following
Patrick Bradley Architects,https://www.pb-architects.com/,ArchitectsPB,"1,490 Tweets","5,471 Followers",334 Following
Grafton Architects,http://www.graftonarchitects.ie/,graftonarchs,49 Tweets,"3,017 Followers",77 Following
PLP Architecture,http://www.plparchitecture.com/,plparchitecture,0 Tweets,17 Followers,0 Following
3D Reid,https://www.3dreid.com/,3_D_Reid,"2,314 Tweets",11.2K Followers,"1,327 Following"
Scott Brownrigg,http://www.scottbrownrigg.com/,ScottBrownrigg,"4,652 Tweets","6,344 Followers","1,226 Following"
Corstorphine + Wright,https://www.corstorphine-wright.com/,Cwrightarch,11.3K Tweets,16.8K Followers,"2,523 Following"
Stride Treglown,https://stridetreglown.com/,StrideTreglown,"9,220 Tweets","8,085 Followers","2,441 Following"
Rio Architects,http://www.rioarchitects.com/,RioArchitects,"2,460 Tweets","2,782 Followers","2,449 Following"
Jestico + Whiles,https://www.jesticowhiles.com/,jesticowhiles,"3,624 Tweets","9,152 Followers","1,158 Following"
HLM Architects,https://hlmarchitects.com/,HLMArchitects,"2,411 Tweets","4,730 Followers",854 Following
Ryder Architecture,http://www.ryderarchitecture.com/,Ryder1953,"6,636 Tweets","7,304 Followers","1,094 Following"
Fraher & Findlay,https://fraherandfindlay.com/,fraherfindlay,"2,253 Tweets","1,841 Followers","1,057 Following"
Purcell,https://www.purcelluk.com/,Purcelluk,"4,344 Tweets","5,617 Followers","2,832 Following"
TP Bennett,http://www.tpbennett.com/,tpbennettllp,736 Tweets,"5,047 Followers",502 Following
Turner Works,https://turner.works/,Turner_Works,467 Tweets,"1,173 Followers",230 Following
Architype,https://architype.co.uk/,ArchitypeUK,"4,730 Tweets",11.6K Followers,669 Following
IF_DO,https://www.ifdo.co/,if_do,543 Tweets,"2,198 Followers",311 Following
Farrells,http://www.farrells.com/,Farrells,"6,118 Tweets","6,491 Followers","1,302 Following"
ADAM Architecture,https://adamarchitecture.com/,ADAMarchitectur,"2,034 Tweets","4,570 Followers","1,062 Following"
dRMM,http://www.drmm.co.uk/,dRMMArchitects,"2,101 Tweets","8,611 Followers","1,469 Following"
Pardini Hall Architecture,https://www.pardinihallarchitecture.com/,pardinihallarch,"6,759 Tweets","2,554 Followers",872 Following
Feilden Fowles,http://www.feildenfowles.co.uk/,FeildenFowles,"1,354 Tweets","4,021 Followers",888 Following
Office S&M,http://www.officesandm.com/,OfficeSandM,639 Tweets,"1,439 Followers","2,356 Following"
Architecture for London,https://architectureforlondon.com/,AFL_tweet,"1,444 Tweets","2,910 Followers","1,609 Following"
John McAslan + Partners,http://www.mcaslan.co.uk/,JohnMcAslan,"1,822 Tweets",10K Followers,783 Following
AR Design Studio,https://ardesignstudio.co.uk/,ARDesign_Studio,"2,905 Tweets","3,175 Followers","1,021 Following"
Optimise Design,https://www.optimise-design.com/,OptimiseDesign,"5,402 Tweets","2,265 Followers",803 Following
ADP Architecture,http://www.adp-architecture.com/,ADPArchitecture,"3,194 Tweets","9,630 Followers",497 Following
Barton Willmore,http://www.bartonwillmore.co.uk/,bartonwillmore,10.7K Tweets,"6,227 Followers","3,445 Following"
EPR Architects,https://www.epr.co.uk/,EPRArchitects,"1,242 Tweets","5,945 Followers",317 Following
Scenario Architecture,https://scenarioarchitecture.com/,ScenarioArch,743 Tweets,818 Followers,209 Following
AHR Architects,https://www.ahr.co.uk/,weareAHR,"4,376 Tweets","3,412 Followers",946 Following
RKD Architects,https://rkd.ie/,rkdarchitects,493 Tweets,"1,976 Followers",226 Following
Buckley Gray Yeoman,http://www.bgy.co.uk/,bgyarchitects,"3,272 Tweets","4,296 Followers",140 Following
HTA Design,http://www.hta.co.uk/,HTADesignLLP,"5,121 Tweets","6,050 Followers","1,109 Following"
Piercy & Company,http://www.piercyandco.com/,PiercyCo,516 Tweets,"1,947 Followers",543 Following
Coffey Architects,http://www.coffeyarchitects.com/,CoffeyArch,"1,620 Tweets","5,766 Followers",477 Following
PRP,https://www.prp-co.uk/,PRP_News,"1,663 Tweets","4,515 Followers","1,048 Following"
DF-DC,https://www.df-dc.co.uk/,DFN_DC,84 Tweets,224 Followers,165 Following
Cullinan Studio,https://www.cullinanstudio.com/,cullinanstudio,"2,940 Tweets","8,699 Followers","1,089 Following"
Darling Associates,https://www.darlingassociates.net/,DAArchitectsUK,588 Tweets,"8,708 Followers",990 Following
Waugh Thistleton Architects,http://www.waughthistleton.com/,waughthistleton,"5,030 Tweets","4,213 Followers","1,607 Following"
Richard Murphy Architects,http://www.richardmurphyarchitects.com/,architects_rm,257 Tweets,"1,213 Followers",76 Following
Levitt Bernstein,http://www.levittbernstein.co.uk/,LevittBernstein,"3,812 Tweets","6,175 Followers",987 Following
